nedbor,temps,soner,priser
2.5846153846153848,16.514285714285712,3.0,0.06749291666666667
0.0,7.012500000000001,5.0,0.9768466666666665
3.972727272727272,0.8733333333333332,3.0,0.14929708333333333
0.0058823529411764705,0.45000000000000007,2.0,1.5779708333333333
1.0285714285714287,8.352380952380951,4.0,0.12711124999999998
4.83,12.76875,1.0,1.6713841666666667
3.446666666666667,-4.86,4.0,0.12934708333333333
10.423529411764704,-1.3571428571428577,2.0,1.469375
0.013333333333333334,-2.1900000000000004,4.0,0.4504729166666667
5.663636363636363,0.70625,3.0,0.4275595833333334
16.313333333333333,-2.82,4.0,0.13549541666666667
2.3588235294117648,7.9,2.0,1.79329875
0.058823529411764705,13.892857142857142,2.0,2.3988316666666667
2.786666666666667,-0.7571428571428575,2.0,1.2237554166666667
1.6,2.011764705882353,1.0,1.7528470833333334
0.01,-0.5411764705882353,1.0,1.879099583333333
0.7999999999999999,2.36,3.0,0.39708458333333335
0.1,-4.3590909090909085,4.0,0.31783541666666665
15.979999999999999,8.25,5.0,1.4068883333333335
6.1499999999999995,2.485714285714286,4.0,0.0941225
2.2750000000000004,13.775,5.0,2.6765787499999996
3.6076923076923078,14.393333333333334,3.0,0.024704166666666666
0.0,1.1102230246251565e-16,5.0,1.6222349999999999
0.21000000000000002,-0.9714285714285715,1.0,1.3183037499999999
15.290000000000001,-4.647058823529412,1.0,1.2247304166666666
2.8125,-1.2823529411764705,1.0,3.5177379166666665
11.837499999999999,7.2294117647058815,1.0,2.0393416666666666
0.011764705882352941,11.064285714285715,2.0,3.4740933333333337
0.009090909090909092,-0.15333333333333338,3.0,0.13827875
2.8499999999999996,1.8352941176470585,1.0,0.9609008333333332
10.653333333333334,-2.507142857142857,2.0,1.19812125
12.209090909090907,-2.66,3.0,0.3728604166666667
4.541666666666666,0.5111111111111112,5.0,1.2402945833333334
0.5941176470588236,9.6,2.0,1.6356266666666668
4.637499999999999,2.9928571428571433,2.0,1.4942725000000001
2.063636363636364,-7.486666666666666,3.0,0.60132625
0.32500000000000007,12.186666666666664,1.0,2.128439166666667
0.32999999999999996,10.776470588235293,1.0,1.5731379166666664
0.1375,8.51764705882353,1.0,1.3411658333333334
